#;Circonscriptions;"Population 20191

(hab.)"
337;Bas-Rhin, 3e;122027
338;Bas-Rhin, 4e;131090
339;Bas-Rhin, 5e;135740
340;Bas-Rhin, 6e;122998
341;Bas-Rhin, 7e;108949
342;Bas-Rhin, 8e;124965
343;Bas-Rhin, 9e;127561
344;Haut-Rhin, 1re;116590
345;Haut-Rhin, 2e;118307
346;Haut-Rhin, 3e;126986
347;Haut-Rhin, 4e;133281
348;Haut-Rhin, 5e;128839
349;Haut-Rhin, 6e;143083
350;Rhône, 1re;132659
351;Rhône, 2e;119497
352;Rhône, 3e;132316
353;Rhône, 4e;138497
354;Rhône, 5e;121788
355;Rhône, 6e;152212
356;Rhône, 7e;134602
357;Rhône, 8e;143427
358;Rhône, 9e;139936
359;Rhône, 10e;131960
360;Rhône, 11e;135570
361;Rhône, 12e;121153
362;Rhône, 13e;125257
363;Rhône, 14e;146873
364;Haute-Saône, 1re;118125
365;Haute-Saône, 2e;117188
366;Saône-et-Loire, 1re;104776
367;Saône-et-Loire, 2e;100282
368;Saône-et-Loire, 3e;108152
369;Saône-et-Loire, 4e;113458
370;Saône-et-Loire, 5e;124825
371;Sarthe, 1re;104578
372;Sarthe, 2e;121086
373;Sarthe, 3e;112682
374;Sarthe, 4e;110185
375;Sarthe, 5e;117881
376;Savoie, 1re;119857
377;Savoie, 2e;102511
378;Savoie, 3e;97299
379;Savoie, 4e;116767
380;Haute-Savoie, 1re;150722
381;Haute-Savoie, 2e;140539
382;Haute-Savoie, 3e;123295
383;Haute-Savoie, 4e;157948
384;Haute-Savoie, 5e;143417
385;Haute-Savoie, 6e;110173
386;Paris, 1re;123748
387;Paris, 2e;113620
388;Paris, 3e;119990
389;Paris, 4e;119750
390;Paris, 5e;120497
391;Paris, 6e;129746
392;Paris, 7e;119888
393;Paris, 8e;128531
394;Paris, 9e;114492
395;Paris, 10e;113230
396;Paris, 11e;110546
397;Paris, 12e;116151
398;Paris, 13e;125957
399;Paris, 14e;124480
400;Paris, 15e;130465
401;Paris, 16e;126060
402;Paris, 17e;112550
403;Paris, 18e;115722
404;Seine-Maritime, 1re;117383
405;Seine-Maritime, 2e;126368
406;Seine-Maritime, 3e;116610
407;Seine-Maritime, 4e;129021
408;Seine-Maritime, 5e;126752
409;Seine-Maritime, 6e;139488
410;Seine-Maritime, 7e;121694
411;Seine-Maritime, 8e;109030
412;Seine-Maritime, 9e;126592
413;Seine-Maritime, 10e;142695
414;Seine-et-Marne, 1re;118437
415;Seine-et-Marne, 2e;113505
416;Seine-et-Marne, 3e;114742
417;Seine-et-Marne, 4e;129839
418;Seine-et-Marne, 5e;132707
419;Seine-et-Marne, 6e;135391
420;Seine-et-Marne, 7e;142053
421;Seine-et-Marne, 8e;151301
422;Seine-et-Marne, 9e;133026
423;Seine-et-Marne, 10e;136957
424;Seine-et-Marne, 11e;113239
425;Yvelines, 1re;121778
426;Yvelines, 2e;123018
427;Yvelines, 3e;114806
428;Yvelines, 4e;117265
429;Yvelines, 5e;113354
430;Yvelines, 6e;115680
431;Yvelines, 7e;123327
432;Yvelines, 8e;127340
433;Yvelines, 9e;141198
434;Yvelines, 10e;121912
435;Yvelines, 11e;120015
436;Yvelines, 12e;108514
437;Deux-Sèvres, 1re;126268
438;Deux-Sèvres, 2e;131758
439;Deux-Sèvres, 3e;116852
440;Somme, 1re;118583
441;Somme, 2e;129577
442;Somme, 3e;103371
443;Somme, 4e;111438
444;Somme, 5e;107590
